calendar_quarter,person_years,observed,expected,oe
2021Q2,192.848734,44,3.770371,11.669938
2021Q3,8422.590007,462,64.188933,7.197502
2021Q4,90161.735797,1385,308.360113,4.491502
2022Q1,230054.677618,2843,1189.932821,2.389211
2022Q2,318497.338809,3964,1574.821627,2.517110
2022Q3,363414.644766,4907,2299.633409,2.133818
2022Q4,394650.255993,5270,2883.825714,1.827434
2023Q1,400939.928815,5237,2991.329952,1.750726
2023Q2,491017.598910,5971,5101.650869,1.170405
2023Q3,544667.236147,6551,6266.635628,1.045378
2023Q4,178892.030114,404,2082.493680,0.193998
