age_band,person_years,observed,expected,smr
0-4,17.705681,0,0.018768,0.000000
5-9,90274.422998,6,7.221954,0.830800
10-14,171459.222450,18,22.289699,0.807548
15-19,213777.065024,85,87.648597,0.969782
20-24,227809.486653,127,123.017123,1.032377
25-29,233675.561944,120,121.511292,0.987563
30-34,245102.713210,150,154.414709,0.971410
35-39,220930.039699,184,185.581233,0.991480
40-44,202692.725530,265,251.338980,1.054353
45-49,202401.533196,422,344.082606,1.226450
50-54,220876.021903,757,653.793025,1.157859
55-59,209896.021903,1186,913.047695,1.298946
60-64,203792.331280,1807,1328.726000,1.359949
65-69,174012.517454,2487,1731.424549,1.436389
70-74,148414.212183,3511,2389.468816,1.469364
75-79,113861.686516,5010,3199.513391,1.565863
80-84,76103.572895,6376,3942.165076,1.617385
85-89,41970.767967,6481,4243.244641,1.527369
90+,23843.277207,8046,5066.934839,1.587942
