last_dose_number,included_people,person_years,observed_deaths,expected_deaths,smr,ci_low,ci_high,censor_date
1,132710,250513.130732,1141,407.308578,2.801316,2.643396,2.968670,2023-10-31
2,543304,1030794.485968,5414,2780.967566,1.946804,1.895631,1.999360,2023-10-31
3,715205,1172581.399042,14382,8371.266684,1.718020,1.690169,1.746329,2023-10-31
4,453785,386509.368925,12448,7652.879179,1.626577,1.598252,1.655404,2023-10-31
5,363435,177487.244353,3558,5486.621863,0.648486,0.627524,0.670149,2023-10-31
6,6572,2986.332649,92,65.829627,1.397547,1.139255,1.714399,2023-10-31
7,58,24.501027,1,0.247899,4.033908,0.568210,28.638032,2023-10-31
8,19,8.000000,1,0.092895,10.764842,1.516319,76.423132,2023-10-31
10,1,0.457221,0,0.004549,0.000000,0.000000,810.858617,2023-10-31
11,1,0.396988,1,0.003950,253.162364,35.660051,1797.282419,2023-10-31
12,2,2.433949,0,0.066174,0.000000,0.000000,55.745549,2023-10-31
20,1,1.336071,0,0.021511,0.000000,0.000000,171.490075,2023-10-31
24,1,1.218344,0,0.123175,0.000000,0.000000,29.948393,2023-10-31
29,1,0.580424,0,0.009345,0.000000,0.000000,394.750738,2023-10-31
