window,calendar_quarter,person_years,observed,expected,oe,ci_low,ci_high
0-7,2021Q2,64.731006,16,1.333776,11.996018,7.349077,19.581295
0-7,2021Q3,2274.223135,52,11.469484,4.533770,3.454752,5.949795
0-7,2021Q4,9508.542094,72,33.401199,2.155611,1.711014,2.715735
0-7,2022Q1,15245.152635,78,94.280751,0.827316,0.662659,1.032887
0-7,2022Q2,1774.978782,7,7.070867,0.989978,0.471950,2.076611
0-7,2022Q3,4783.063655,84,98.673650,0.851291,0.687389,1.054274
0-7,2022Q4,1985.141684,14,29.059941,0.481763,0.285322,0.813450
0-7,2023Q1,1045.357974,3,15.439462,0.194307,0.062667,0.602476
0-7,2023Q2,10728.273785,89,255.405404,0.348466,0.283094,0.428932
0-7,2023Q3,1065.325120,12,19.056259,0.629714,0.357617,1.108840
0-7,2023Q4,37.672827,0,0.606491,0.000000,0.000000,6.082334
181-365,2021Q4,203.066393,27,2.681739,10.068094,6.904472,14.681286
181-365,2022Q1,8553.418207,189,55.495590,3.405676,2.953156,3.927537
181-365,2022Q2,89154.746064,676,286.316554,2.361023,2.189582,2.545888
181-365,2022Q3,227442.340864,2557,1111.515108,2.300464,2.213002,2.391382
181-365,2022Q4,232564.566738,2009,1260.214040,1.594174,1.525965,1.665431
181-365,2023Q1,128974.680356,2219,1123.344425,1.975351,1.894847,2.059276
181-365,2023Q2,72517.478439,2440,1270.791322,1.920063,1.845369,1.997781
181-365,2023Q3,48643.657769,1061,793.407213,1.337270,1.259177,1.420208
181-365,2023Q4,22862.929500,42,484.776953,0.086638,0.064027,0.117234
22-42,2021Q2,44.725530,9,0.825289,10.905265,5.674102,20.959229
22-42,2021Q3,2129.533196,127,17.755311,7.152789,6.010936,8.511552
22-42,2021Q4,22250.872005,245,60.879873,4.024319,3.550668,4.561153
22-42,2022Q1,38898.628337,485,260.627029,1.860897,1.702435,2.034108
22-42,2022Q2,10944.010951,77,36.617041,2.102846,1.681908,2.629134
22-42,2022Q3,11831.917864,381,227.786110,1.672622,1.512825,1.849298
22-42,2022Q4,5546.395619,211,94.373478,2.235798,1.953585,2.558779
22-42,2023Q1,3157.511294,33,33.808991,0.976072,0.693911,1.372965
22-42,2023Q2,25349.678303,384,616.238654,0.623135,0.563824,0.688685
22-42,2023Q3,6320.109514,129,124.438496,1.036657,0.872347,1.231914
22-42,2023Q4,629.954825,1,10.097612,0.099033,0.013950,0.703070
366+,2022Q2,164.246407,4,1.950271,2.050997,0.769762,5.464791
366+,2022Q3,7867.863107,93,51.502085,1.805752,1.473639,2.212714
366+,2022Q4,88220.065709,429,283.956202,1.510796,1.374386,1.660746
366+,2023Q1,225753.749486,1481,1112.951065,1.330696,1.264620,1.400225
366+,2023Q2,315487.665987,2008,1530.313447,1.312149,1.255994,1.370816
366+,2023Q3,359140.898022,2668,2242.710270,1.189632,1.145336,1.235641
366+,2023Q4,124839.633125,204,888.849542,0.229510,0.200081,0.263269
43-90,2021Q2,9.995893,0,0.135299,0.000000,0.000000,27.264691
43-90,2021Q3,981.935661,141,14.540274,9.697204,8.221690,11.437522
43-90,2021Q4,33327.983573,513,103.980926,4.933597,4.524614,5.379549
43-90,2022Q1,61143.414100,1014,374.452997,2.707950,2.546298,2.879864
43-90,2022Q2,71012.594113,709,351.507933,2.017024,1.873885,2.171097
43-90,2022Q3,17321.284052,480,250.009622,1.919926,1.755626,2.099603
43-90,2022Q4,20739.937029,875,420.185850,2.082412,1.948903,2.225067
43-90,2023Q1,10412.536619,227,133.856561,1.695845,1.488980,1.931450
43-90,2023Q2,32248.246407,506,784.345770,0.645124,0.591292,0.703857
43-90,2023Q3,39295.416838,826,890.633567,0.927430,0.866290,0.992884
43-90,2023Q4,1813.793292,9,32.114102,0.280251,0.145817,0.538624
8-21,2021Q2,73.396304,19,1.476007,12.872564,8.210743,20.181232
8-21,2021Q3,2844.982888,115,17.384556,6.615067,5.510079,7.941648
8-21,2021Q4,16432.720055,185,50.918886,3.633230,3.145648,4.196387
8-21,2022Q1,26753.226557,245,171.846809,1.425688,1.257889,1.615872
8-21,2022Q2,3960.728268,17,11.953576,1.422169,0.884098,2.287713
8-21,2022Q3,8396.580424,272,169.743107,1.602421,1.422866,1.804635
8-21,2022Q4,3492.889802,96,53.713817,1.787250,1.463215,2.183043
8-21,2023Q1,1533.678303,8,15.939583,0.501895,0.250993,1.003607
8-21,2023Q2,18610.067077,245,446.627020,0.548556,0.483993,0.621732
8-21,2023Q3,2566.387406,32,47.448162,0.674420,0.476931,0.953687
8-21,2023Q4,198.075291,0,3.264067,0.000000,0.000000,1.130148
91-180,2021Q3,191.915127,27,3.039307,8.883605,6.092176,12.954065
91-180,2021Q4,8438.551677,343,56.497491,6.071066,5.461395,6.748797
91-180,2022Q1,79460.837782,832,233.229644,3.567300,3.332951,3.818126
91-180,2022Q2,141486.034223,2474,879.405385,2.813265,2.704562,2.926336
91-180,2022Q3,85771.594798,1040,390.403728,2.663909,2.506826,2.830835
91-180,2022Q4,42101.259411,1636,742.322385,2.203894,2.099644,2.313320
91-180,2023Q1,30062.414784,1266,555.989864,2.277020,2.154981,2.405970
91-180,2023Q2,16076.188912,299,197.929251,1.510641,1.348758,1.691953
91-180,2023Q3,87635.441478,1823,2148.941662,0.848325,0.810262,0.888175
91-180,2023Q4,28509.971253,148,662.784913,0.223300,0.190073,0.262337
